date,treat,date1,rep ,chl,ph,no3,nh4,temp
6/20/2017,3,9,4,241.3,9.6,0.53,1.33,24.4
6/20/2017,3,9,5,248.9,9.5,0.49,1.39,24.6
6/20/2017,9,9,1,265.9,9.4,0.68,1.54,24.4
6/20/2017,9,9,2,128.3,9.5,0.56,1.73,24.5
6/20/2017,9,9,3,190.3,8.9,0.49,2.07,24.6
6/20/2017,9,9,4,255.3,9.6,0.58,1.52,24.6
6/20/2017,9,9,5,237.7,9.2,0.53,1.92,24.5
6/20/2017,27,9,1,236.2,9.8,0.74,2.61,24
6/20/2017,27,9,2,386,9.6,0.9,2.74,24.4
6/20/2017,27,9,3,262.3,9.8,0.66,2.75,24.1
6/20/2017,27,9,4,232.6,9,0.78,4.82,23.8
6/20/2017,27,9,5,250.4,9.2,0.64,3.8,23.8
6/20/2017,54,9,1,449.18,9.5,1.02,5.94,23.2
6/20/2017,54,9,2,424.76,9.4,1.02,9.98,22.8
6/20/2017,54,9,3,324.86,9.6,0.94,5.28,23.8
6/20/2017,54,9,4,468.79,9.2,0.97,6.38,23.2
6/20/2017,54,9,5,285.2,9.3,1.03,9.68,23.2
6/20/2017,108,9,1,293.4,8.4,1.5,48.3,23.6
6/20/2017,108,9,2,267.5,8.3,1.34,46.92,22.8
6/20/2017,108,9,3,287.9,8.4,1.3,42.8,23.8
6/20/2017,108,9,4,222.3,8.5,1.27,44.7,23.9
6/20/2017,108,9,5,249.9,8.5,1.24,43.71,23.9
6/21/2017,0.5,10,1,97.68,8.5,0.44,4.2,22.3
6/21/2017,0.5,10,2,229.3,8.9,0.81,13.2,22.4
6/21/2017,0.5,10,3,216.7,8.8,0.44,1.71,22.3
6/21/2017,0.5,10,4,183.4,9,0.5,3.26,22.3
6/21/2017,0.5,10,5,185.9,9,0.53,2.04,22.3
6/21/2017,3,10,1,235.9,9.1,0.57,1.45,22.4
6/21/2017,3,10,2,179.6,8.8,0.54,1.84,22.3
6/21/2017,3,10,3,254.8,9.1,0.53,1.31,22.5
6/21/2017,3,10,4,260.2,9.4,0.74,1.28,22.2
6/21/2017,3,10,5,235.8,9.1,0.55,1.36,22.2
6/21/2017,9,10,1,235.9,8.6,0.94,2.45,22.1
6/21/2017,9,10,2,167.2,8.4,0.82,2.3,22.2
6/21/2017,9,10,3,174.4,8.2,0.75,2.62,22.1
6/21/2017,9,10,4,269.9,8.6,0.73,2.2,22.1
6/21/2017,9,10,5,238,8.5,0.81,2.34,22.1
6/21/2017,27,10,1,288.6,8.7,0.76,3.08,22.4
6/21/2017,27,10,2,611.6,9.4,1.06,2.24,22.2
6/21/2017,27,10,3,276.4,9,0.76,2.87,22.3
6/21/2017,27,10,4,192,8.3,1.35,6.53,22.1
6/21/2017,27,10,5,207.6,8.3,0.95,6.69,22.3
6/21/2017,54,10,1,520.4,8.9,1.39,4.36,22
6/21/2017,54,10,2,452.4,8.4,1.61,13.82,21.8
6/21/2017,54,10,3,291.1,9,1.25,3.65,21.8
6/21/2017,54,10,4,300.6,8.5,1.35,4.34,21.9
6/21/2017,54,10,5,441.2,8.7,1.54,7.81,22.1
6/21/2017,108,10,1,622.8,8.1,2.51,44.32,22.2
6/21/2017,108,10,2,600.8,8.1,1.89,39.05,22.1
6/21/2017,108,10,3,679.6,8.2,1.83,32.91,22.4
6/21/2017,108,10,4,270.9,8.1,1.95,40.7,22
6/21/2017,108,10,5,292.4,8.2,2.1,42.56,22.2
6/22/2017,0.5,11,1,76.86,8.8,0.34,2.22,24.1
6/22/2017,0.5,11,2,243.8,9.2,0.6,8.36,24.1
6/22/2017,0.5,11,3,232.6,9.1,0.35,1.03,24
