Rep,Treatment,control,Time_chl_1,Chl_time_1,chl1,Time_nh4_1,Nh4_time_1,nh41,ph1,temp1,Time_chl_2,Chl_time_2,chl2,Time_nh4_2,Nh4_time_2,Chl_Time_Diff,Nh4_Time_Diff,nh42,ph2,temp2,Num_Daphnia,baby,dead,date
17,3,1,,9:10:00 AM,1.728,,9:46:00 AM,12.73,8.5,19.5,,3:07:00 PM,0.702,,03:43:00 PM,357.00,,11.66,8.7,20.2,11,,1,1_15_18
18,3,1,,9:45:00 AM,0.79,,10:15:00 AM,11.55,8.6,19.5,,3:45:00 PM,0.763,,04:11:00 PM,360.00,,11.83,8.4,20.1,9,,0,1_15_18
19,3,1,,10:16:00 AM,0.788,,10:44:00 AM,14.53,8.4,19.5,,4:16:00 PM,0.833,,04:42:00 PM,360.00,,12.02,8.5,19.5,9,,1,1_15_18
20,3,2,,11:35:00 AM,0.863,,12:17:00 PM,13.55,8.7,19.7,,5:35:00 PM,0.832,,06:15:00 PM,360.00,,14.94,8.6,19.8,8,,1,1_15_18
21,3,1,,12:08:00 PM,0.788,,12:43:00 PM,12.11,8.5,19.8,,6:07:00 PM,0.766,,06:50:00 PM,359.00,,14.38,8.6,19.5,6,,4,1_15_18
22,3,2,,8:20:00 AM,0.955,,8:44:00 AM,14.85,8.5,19.9,,2:16:00 PM,0.907,,02:37:00 PM,356.00,,12.65,8.5,20.4,0,,0,1_15_18
23,3,2,,8:45:00 AM,0.955,,9:26:00 AM,13.41,8.8,19.4,,2:47:00 PM,0.811,,03:17:00 PM,362.00,,11.5,8.5,20.1,0,,0,1_15_18
24,3,2,,11:16:00 AM,0.918,,11:42:00 AM,9.93,8.6,19.6,,5:14:00 PM,6.931,,05:44:00 PM,358.00,,16.9,8.6,19.7,0,,0,1_15_18
25,4,1,,7:55:00 AM,24.11,,8:10:00 AM,23.28,8.5,20.5,,1:56:00 PM,16.08,,02:03:00 PM,361.00,,14.16,8.5,20.6,7,,3,1_15_18
26,4,1,,8:25:00 AM,26.23,,8:50:00 AM,17.77,8.5,19.5,,2:24:00 PM,23.17,,02:46:00 PM,359.00,,15.68,8.5,20,12,,0,1_15_18
27,4,1,,10:19:00 AM,21.66,,10:55:00 AM,13.45,8.6,19.6,,4:18:00 PM,15.85,,04:45:00 PM,359.00,,14.2,8.6,19.8,10,,1,1_15_18
