Rep,Treat,Day,Date,Time,pH,Temp,NH4
53,4,5,03_02_2018,13:49,8.5,21.2,0.9
67,5,5,03_02_2018,13:54,8.4,21.2,4.95
26,2,5,03_02_2018,14:04,8.4,21,26.08
40,3,5,03_02_2018,14:12,8.5,21,3.13
54,4,5,03_02_2018,14:22,8.4,21.1,0.86
68,5,5,03_02_2018,14:32,8.5,21.1,6.26
12,1,5,03_02_2018,14:42,8.5,21.2,12.96
41,3,5,03_02_2018,14:53,8.5,21.1,3.66
55,4,5,03_02_2018,14:59,8.5,21.2,0.78
69,5,5,03_02_2018,15:09,8.5,21.5,6.31
13,1,5,03_02_2018,15:16,8.4,21.2,10.26
27,2,5,03_02_2018,15:26,8.4,21.4,15.85
56,4,5,03_02_2018,15:35,8.5,21.4,0.9
70,5,5,03_02_2018,15:44,8.4,21.5,5.02
14,1,5,03_02_2018,15:54,8.4,21.4,9.68
28,2,5,03_02_2018,16:04,8.3,21.4,14.48
42,3,5,03_02_2018,16:15,8.4,21.6,3.38
