"","param","quant","value","treat","rep","param2"
"347","p[5]","X25.",1.95886474214162,"3","4.RDS","f"
"348","p[5]","X50.",2.33732332110834,"3","4.RDS","f"
"349","p[5]","X75.",2.7833006750286,"3","4.RDS","f"
"350","p[5]","X97.5.",4.34036837396838,"3","4.RDS","f"
"351","p[1]","X2.5.",0.180888014270645,"3","5.RDS","a"
"352","p[1]","X25.",0.755760786048908,"3","5.RDS","a"
"353","p[1]","X50.",1.00948067745607,"3","5.RDS","a"
"354","p[1]","X75.",1.25986864837119,"3","5.RDS","a"
"355","p[1]","X97.5.",1.84976478596524,"3","5.RDS","a"
"356","p[2]","X2.5.",0.405187152189547,"3","5.RDS","k"
"357","p[2]","X25.",1.12925547682883,"3","5.RDS","k"
"358","p[2]","X50.",1.61800996708972,"3","5.RDS","k"
"359","p[2]","X75.",2.16000767146428,"3","5.RDS","k"
"360","p[2]","X97.5.",3.83602766557868,"3","5.RDS","k"
"361","p[3]","X2.5.",0.189510822441513,"3","5.RDS","l"
"362","p[3]","X25.",0.401298549354919,"3","5.RDS","l"
"363","p[3]","X50.",0.506855535033036,"3","5.RDS","l"
"364","p[3]","X75.",0.621295090191682,"3","5.RDS","l"
"365","p[3]","X97.5.",0.925006162211674,"3","5.RDS","l"
"366","p[4]","X2.5.",0.423826611752106,"3","5.RDS","death1"
"367","p[4]","X25.",0.768726101024233,"3","5.RDS","death1"
"368","p[4]","X50.",1.03402599346828,"3","5.RDS","death1"
"369","p[4]","X75.",1.35167596573032,"3","5.RDS","death1"
"370","p[4]","X97.5.",2.21363856015422,"3","5.RDS","death1"
"371","p[5]","X2.5.",1.30158138663634,"3","5.RDS","f"
"372","p[5]","X25.",1.86087571874303,"3","5.RDS","f"
"373","p[5]","X50.",2.26214417559771,"3","5.RDS","f"
"374","p[5]","X75.",2.82253629394948,"3","5.RDS","f"
"375","p[5]","X97.5.",6.194045390423,"3","5.RDS","f"
"376","p[1]","X2.5.",0.230966046919054,"4","1.RDS","a"
"377","p[1]","X25.",0.321992813012415,"4","1.RDS","a"
"378","p[1]","X50.",0.387843893255908,"4","1.RDS","a"
"379","p[1]","X75.",0.472772506644251,"4","1.RDS","a"
"380","p[1]","X97.5.",0.708919571368288,"4","1.RDS","a"
"381","p[2]","X2.5.",0.417157092946013,"4","1.RDS","k"
"382","p[2]","X25.",0.707622306032315,"4","1.RDS","k"
"383","p[2]","X50.",0.947775379518689,"4","1.RDS","k"
"384","p[2]","X75.",1.29610996464323,"4","1.RDS","k"
"385","p[2]","X97.5.",2.30795046210783,"4","1.RDS","k"
"386","p[3]","X2.5.",0.18983328259439,"4","1.RDS","l"
"387","p[3]","X25.",0.252869167903811,"4","1.RDS","l"
"388","p[3]","X50.",0.297915996598842,"4","1.RDS","l"
"389","p[3]","X75.",0.35361120888565,"4","1.RDS","l"
"390","p[3]","X97.5.",0.523311497672092,"4","1.RDS","l"
"391","p[4]","X2.5.",0.420577942013333,"4","1.RDS","death1"
"392","p[4]","X25.",0.738043935816298,"4","1.RDS","death1"
"393","p[4]","X50.",0.981810667815256,"4","1.RDS","death1"
"394","p[4]","X75.",1.27050157339842,"4","1.RDS","death1"
"395","p[4]","X97.5.",2.10448464941133,"4","1.RDS","death1"
"396","p[5]","X2.5.",2.40971309731874,"4","1.RDS","f"
"397","p[5]","X25.",3.34710935396505,"4","1.RDS","f"
"398","p[5]","X50.",3.91590272774578,"4","1.RDS","f"
"399","p[5]","X75.",4.52630728254508,"4","1.RDS","f"
"400","p[5]","X97.5.",5.89904995212737,"4","1.RDS","f"
"401","p[1]","X2.5.",0.17781035426888,"4","2.RDS","a"
"402","p[1]","X25.",0.256107763877282,"4","2.RDS","a"
"403","p[1]","X50.",0.318095122694715,"4","2.RDS","a"
"404","p[1]","X75.",0.39987682495514,"4","2.RDS","a"
